deviceID,port,name,speed,duplex,negotiation,ip address,ip address mask,untag,tagged start,tagged end,lacp_port
l2-20240207,1,IF-1,,,,,,,,,
l2-20240207,2,IF-2,,,,,,401,,,
l2-20240207,3,IF-3,,,,,,402,,,
l2-20240207,4,IF-4,,,,,,403,,,
l2-20240207,5,IF-5,,,,,,404,,,
l2-20240207,6,IF-6,,,,,,405,,,
l2-20240207,7,IF-7,,,,,,406,,,
l2-20240207,8,IF-8,100m,full,,,,407,,,
l2-20240207,9,IF-9,100m,full,,,,423,,,
l2-20240207,10,IF-10,,,,,,409,,,
l2-20240207,11,IF-11,100m,full,,,,410,,,
l2-20240207,12,IF-12,100m,full,,,,411,,,
l2-20240207,13,IF-13,100m,full,,,,412,,,
l2-20240207,14,IF-14,100m,full,,,,413,,,
l2-20240207,15,IF-15,100m,full,,,,414,,,
l2-20240207,16,IF-16,,,,,,417,,,
l2-20240207,17,IF-17,,,,,,416,,,
l2-20240207,18,IF-18,,,,,,418,,,
l2-20240207,19,IF-19,100m,full,,,,419,,,
l2-20240207,20,IF-20,100m,full,,,,420,,,
l2-20240207,21,IF-21,100m,full,,,,421,,,
l2-20240207,22,IF-22,,,,,,422,,,
l2-20240207,23,IF-23,,,,,,92,,,
l2-20240207,24,IF-24,,,,,,,,,
