Interface,Unit,VLAN
ge-0/0/0,0,vlan92
ge-0/0/0,0,vlan401
ge-0/0/0,0,vlan402
ge-0/0/0,0,vlan403
ge-0/0/0,0,vlan404
ge-0/0/0,0,vlan405
ge-0/0/0,0,vlan406
ge-0/0/0,0,vlan407
ge-0/0/0,0,vlan409
ge-0/0/0,0,vlan410
ge-0/0/0,0,vlan411
ge-0/0/0,0,vlan412
ge-0/0/0,0,vlan413
ge-0/0/0,0,vlan414
ge-0/0/0,0,vlan416
ge-0/0/0,0,vlan417
ge-0/0/0,0,vlan418
ge-0/0/0,0,vlan419
ge-0/0/0,0,vlan420
ge-0/0/0,0,vlan421
ge-0/0/0,0,vlan422
ge-0/0/0,0,vlan423
ge-0/0/0,0,vlan424
ge-0/0/0,0,vlan427
ge-0/0/1,0,vlan401
ge-0/0/2,0,vlan402
ge-0/0/3,0,vlan403
ge-0/0/4,0,vlan404
ge-0/0/5,0,vlan405
ge-0/0/6,0,vlan406
ge-0/0/7,0,vlan407
ge-0/0/8,0,vlan423
ge-0/0/9,0,vlan409
ge-0/0/10,0,vlan410
ge-0/0/11,0,vlan411
ge-0/0/12,0,vlan412
ge-0/0/13,0,vlan413
ge-0/0/14,0,vlan414
ge-0/0/15,0,vlan417
ge-0/0/16,0,vlan416
ge-0/0/17,0,vlan418
ge-0/0/18,0,vlan419
ge-0/0/19,0,vlan420
ge-0/0/20,0,vlan421
ge-0/0/21,0,vlan422
ge-0/0/22,0,vlan92
ge-0/0/23,0,vlan401
ge-0/0/23,0,vlan402
ge-0/0/23,0,vlan403
ge-0/0/23,0,vlan404
ge-0/0/23,0,vlan405
ge-0/0/23,0,vlan406
ge-0/0/23,0,vlan407
ge-0/0/23,0,vlan409
ge-0/0/23,0,vlan410
ge-0/0/23,0,vlan411
ge-0/0/23,0,vlan412
ge-0/0/23,0,vlan413
ge-0/0/23,0,vlan414
ge-0/0/23,0,vlan416
ge-0/0/23,0,vlan417
ge-0/0/23,0,vlan418
ge-0/0/23,0,vlan419
ge-0/0/23,0,vlan420
ge-0/0/23,0,vlan421
ge-0/0/23,0,vlan422
ge-0/0/23,0,vlan423
ge-0/0/23,0,vlan424
ge-0/0/23,0,vlan427
